Wallet address,total nfts,nfts in wallet for 10 days
erd1jr9t2u0t2v2lq4u2cgmt2w4uqtm7zg00t6eu00m8gpdchptan6hqcmk0wg,1,0
erd1vhqul4766w5wcd66cd0yw9p0z0g9qdwenrkkjugdp2ufh49ll2cqj4gk8f,1,0
erd1tyycyldmcckka6qyjdgpnl5huj6uqrala3fxt2ncv7s2csuvgmkqj9mmpa,1,0
erd1sxfx4fmad3yl9yc8mxgtleyqzl0slpvq8h3faz358tntdxnh0t7qd6d5gy,1,0
erd1edu0esw3x8h4xy6k698g5vv60r3qf0dvezzqtt4224hkeamszt5sy6ewfs,1,0
erd1twgh60gzhwvsycczl4cz4kfzrm6uwrk33mlp83y04anm9qu95eese8evqw,1,0
erd1w50ydhxtlplfttktj2pppfjujfd4ehvncptdrpudhjp2evmmx3hqaedpy9,1,0
erd1nfvmtqmzajd0yur9wynujg5a3qukvuku3a53h9hr77w6thvgw5vsfpq8qh,1,0
erd1r08rkes2ydrka8d5ynaj0qqyjxcjhd6y9n2e0vu5mcymqapj42hqsan3ex,1,0
erd1gjl7qt29j7wy5tkyy86pfsfdn3vq4hxsah6d87cdccew3ydzl9pse46hhr,1,0
erd1qfl5afvku8qy6kp5cwfqm8jrf8xjzav5te7ms5fn5rakqnqfzlxsdf0jgl,1,0
erd1wnr33t9a3k23yz9nq49sy9j3s3qvk08ygmvzd3969qv2wdz6nsdsnpaqlr,1,0
erd1d20z58pd2vt6gwsp5tymnqnlfeemzdvsxn6makmr9lkfeedvpd4skazmnt,1,0
erd16w90cr5fllz2dcjl5mffy0jpay6fnvq3tntxect697tun6f56uqsjqt29p,1,0
